Brands,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,Sentinelone
Fortinet ,"890,185","987,459","848,534","861,429","1,014,918","1,216,565","1,238,062","1,220,873","3,478"
Cisco,"1,851,119","1,926,033","1,796,711","1,597,868","2,013,042","2,062,966","1,793,605","1,824,021","3,372"
HPE,"365,056","413,677","371,077","347,469","363,898","418,122","357,392","325,543","3,059"
Palo Alto,"295,767","412,493","546,710","824,929","588,517","573,648","549,652","635,255","2,980"
Check Point ,"179,617","193,486","242,600","316,209","173,380","148,047","136,099","123,392","3,371"
Crowdstrike,"351,558","1,027,015","292,017","277,997","494,958","326,721","304,393","445,930","4,006"
Cato Networks,"16,993","20,452","19,024","19,607","18,712","18,833","19,371","20,085","4,539"
Sentinelone,"147,647","156,874","161,404","193,143","314,785","176,178","205,344","278,278","5,336"
